title,link
Hình ảnh,https://www.google.com/imghp?hl=vi&tab=wi
Maps,https://maps.google.com/maps?hl=vi&tab=wl
Play,https://play.google.com/?hl=vi&tab=w8
YouTube,https://www.youtube.com/?tab=w1
Tin tức,https://news.google.com/?tab=wn
Gmail,https://mail.google.com/mail/?tab=wm
Drive,https://drive.google.com/?tab=wo
Thêm »,https://www.google.com.vn/intl/vi/about/products?tab=wh
Lịch sử Web,http://www.google.com.vn/history/optout?hl=vi
Cài đặt,/preferences?hl=vi
Đăng nhập,https://accounts.google.com/ServiceLogin?hl=vi&passive=true&continue=https://www.google.com/&ec=GAZAAQ
Tìm kiếm nâng cao,/advanced_search?hl=vi&authuser=0
English,https://www.google.com/setprefs?sig=0_vbmcVGk0SlfujRyYbFlU4Ff-vqw%3D&hl=en&source=homepage&sa=X&ved=0ahUKEwjqvYe42b6OAxWzqFYBHXWRPF8Q2ZgBCAY
Français,https://www.google.com/setprefs?sig=0_vbmcVGk0SlfujRyYbFlU4Ff-vqw%3D&hl=fr&source=homepage&sa=X&ved=0ahUKEwjqvYe42b6OAxWzqFYBHXWRPF8Q2ZgBCAc
繁體中文,https://www.google.com/setprefs?sig=0_vbmcVGk0SlfujRyYbFlU4Ff-vqw%3D&hl=zh-TW&source=homepage&sa=X&ved=0ahUKEwjqvYe42b6OAxWzqFYBHXWRPF8Q2ZgBCAg
Quảng cáo,/intl/vi/ads/
Giải pháp Kinh doanh,/services/
Giới thiệu về Google,/intl/vi/about.html
Google.com.vn,https://www.google.com/setprefdomain?prefdom=VN&prev=https://www.google.com.vn/&sig=K_GCkgLoglUHq0NeI3KIQ7uzF9WcE%3D
